Station :27,500
       3,279    0,557
       3,374    0,619
       3,551    0,746
       3,710    0,876
       3,853    1,007
       3,979    1,134
       4,089    1,256
       4,185    1,372
       4,268    1,484
       4,341    1,592
       4,406    1,697
       4,465    1,799
       4,573    2,000 (knuckle)
       4,678    2,250
       4,726    2,375
       4,769    2,500
       4,806    2,625
       4,837    2,750
       4,893    3,000
-------------------------------

Station :38,500
Number of segments :1
   Segment 1
       0,000    0,000
       0,529    0,009
       0,793    0,020
       1,054    0,037
       1,314    0,063
       1,570    0,100
       1,697    0,124
       1,823    0,151
       1,949    0,182
       2,073    0,217
       2,196    0,257
       2,318    0,301
       2,438    0,348
       2,556    0,399
       2,785    0,509
       3,004    0,629
       3,210    0,754
       3,401    0,883
       3,574    1,012
       3,729    1,138
       3,863    1,258
       3,978    1,374
       4,077    1,485
       4,163    1,592
       4,238    1,697
       4,305    1,799
       4,425    2,000 (knuckle)
       4,543    2,250
       4,598    2,375
       4,647    2,500
       4,691    2,625
       4,729    2,750
       4,796    3,000
-------------------------------

Station :39,600
Number of segments :1
   Segment 1
       0,000    0,000
       0,325    0,034
       0,492    0,056
       0,665    0,083
       0,844    0,118
       1,032    0,162
       1,231    0,217
       1,442    0,285
       1,553    0,324
       1,782    0,413
       2,018    0,512
       2,257    0,621
       2,493    0,736
       2,722    0,855
       2,939    0,976
       3,139    1,096
       3,231    1,155
       3,399    1,270
       3,545    1,381
       3,674    1,489
       3,787    1,594
       3,889    1,698
       3,982    1,799
       4,153    2,000 (knuckle)
       4,277    2,250
       4,335    2,375
       4,389    2,500
       4,436    2,625
       4,479    2,750
       4,557    3,000
-------------------------------

